SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2003,1610612739,CLE,Cleveland Cavaliers,20300177,2003-11-22,CLE @ ATL,L,42,15,3,16,0.188,0,1,0.0,9,10,0.9,2,4,6,4,2,1,3,1,-1.2,False
2003,1610612739,CLE,Cleveland Cavaliers,20300166,2003-11-21,CLE vs. MIN,L,35,19,8,19,0.421,0,2,0.0,3,3,1.0,2,7,9,2,1,0,1,4,-0.6,True
2003,1610612739,CLE,Cleveland Cavaliers,20300153,2003-11-19,CLE @ WAS,L,39,28,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,-1.0,False
2003,1610612739,CLE,Cleveland Cavaliers,20300144,2003-11-18,CLE vs. LAC,W,39,14,6,16,0.375,0,2,0.0,2,4,0.5,2,5,7,8,0,1,3,2,0.2,True
2003,1610612739,CLE,Cleveland Cavaliers,20300130,2003-11-15,CLE vs. PHI,W,47,22,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,2,1.6,True
2003,1610612739,CLE,Cleveland Cavaliers,20300115,2003-11-14,CLE @ BOS,L,35,10,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,-0.2,False
2003,1610612739,CLE,Cleveland Cavaliers,20300106,2003-11-12,CLE @ MIA,L,42,18,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,-0.8,False
2003,1610612739,CLE,Cleveland Cavaliers,20300090,2003-11-10,CLE vs. NYK,W,34,17,7,12,0.583,3,3,1.0,0,0,,1,4,5,4,1,1,2,0,4.0,True
2003,1610612739,CLE,Cleveland Cavaliers,20300078,2003-11-08,CLE vs. WAS,W,45,17,8,19,0.421,0,0,,1,4,0.25,5,3,8,9,1,1,2,1,2.8,True
2003,1610612739,CLE,Cleveland Cavaliers,20300068,2003-11-07,CLE @ IND,L,44,23,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,-1.4,False
2003,1610612739,CLE,Cleveland Cavaliers,20300057,2003-11-05,CLE vs. DEN,L,41,7,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,1,-0.6,True
2003,1610612739,CLE,Cleveland Cavaliers,20300038,2003-11-01,CLE @ POR,L,39,8,3,12,0.25,0,1,0.0,2,2,1.0,0,4,4,6,2,0,2,3,-4.2,False
2003,1610612739,CLE,Cleveland Cavaliers,20300018,2003-10-30,CLE @ PHX,L,41,21,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,1,-0.6,False
2003,1610612739,CLE,Cleveland Cavaliers,20300014,2003-10-29,CLE @ SAC,L,42,25,12,20,0.6,0,2,0.0,1,3,0.333,2,4,6,9,4,0,2,3,-1.8,False
