SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2018,1610612742,DAL,Dallas Mavericks,21800834,2019-02-10,DAL vs. POR,W,38,28,9,19,0.474,4,9,0.444,6,8,0.75,0,9,9,6,0,1,3,3,-0.8,True
2018,1610612742,DAL,Dallas Mavericks,21800821,2019-02-08,DAL vs. MIL,L,27,20,7,14,0.5,3,7,0.429,3,7,0.429,1,2,3,2,0,0,2,1,-5.6,True
2018,1610612742,DAL,Dallas Mavericks,21800807,2019-02-06,DAL vs. CHA,W,35,19,5,20,0.25,2,10,0.2,7,9,0.778,1,9,10,11,1,0,3,1,1.8,True
2018,1610612742,DAL,Dallas Mavericks,21800780,2019-02-02,DAL @ CLE,W,33,35,13,25,0.52,4,11,0.364,5,7,0.714,1,10,11,6,1,0,2,4,1.6,False
2018,1610612742,DAL,Dallas Mavericks,21800758,2019-01-30,DAL @ NYK,W,29,16,7,18,0.389,2,9,0.222,0,1,0.0,1,7,8,5,0,0,3,1,3.0,False
2018,1610612742,DAL,Dallas Mavericks,21800739,2019-01-27,DAL vs. TOR,L,36,35,14,24,0.583,3,9,0.333,4,6,0.667,2,10,12,10,0,0,3,3,-0.4,True
2018,1610612742,DAL,Dallas Mavericks,21800726,2019-01-25,DAL vs. DET,W,35,32,9,19,0.474,3,9,0.333,11,13,0.846,1,7,8,8,2,1,4,3,0.4,True
2018,1610612742,DAL,Dallas Mavericks,21800704,2019-01-22,DAL vs. LAC,W,32,17,5,15,0.333,0,8,0.0,7,10,0.7,0,7,7,6,1,1,3,1,0.4,True
2018,1610612742,DAL,Dallas Mavericks,21800694,2019-01-21,DAL @ MIL,L,33,18,6,17,0.353,2,5,0.4,4,5,0.8,2,9,11,10,1,1,3,1,-2.0,False
2018,1610612742,DAL,Dallas Mavericks,21800681,2019-01-19,DAL @ IND,L,24,8,3,14,0.214,0,5,0.0,2,4,0.5,2,3,5,6,3,0,2,1,-1.2,False
2018,1610612742,DAL,Dallas Mavericks,21800661,2019-01-16,DAL vs. SAS,L,36,25,10,21,0.476,3,9,0.333,2,2,1.0,1,7,8,8,1,0,2,4,1.6,True
2018,1610612742,DAL,Dallas Mavericks,21800642,2019-01-13,DAL vs. GSW,L,32,26,8,18,0.444,5,10,0.5,5,8,0.625,0,6,6,5,1,0,5,1,-2.8,True
2018,1610612742,DAL,Dallas Mavericks,21800626,2019-01-11,DAL @ MIN,W,35,29,10,23,0.435,2,9,0.222,7,10,0.7,2,6,8,12,2,0,1,2,1.0,False
2018,1610612742,DAL,Dallas Mavericks,21800613,2019-01-09,DAL vs. PHX,W,36,30,8,14,0.571,4,9,0.444,10,16,0.625,0,5,5,5,3,0,4,1,2.0,True
2018,1610612742,DAL,Dallas Mavericks,21800596,2019-01-07,DAL vs. LAL,L,35,27,10,23,0.435,2,6,0.333,5,7,0.714,2,6,8,2,1,1,1,3,-1.4,True
2018,1610612742,DAL,Dallas Mavericks,21800578,2019-01-05,DAL @ PHI,L,26,14,4,16,0.25,1,8,0.125,5,10,0.5,0,9,9,4,2,0,0,1,-3.6,False
2018,1610612742,DAL,Dallas Mavericks,21800566,2019-01-04,DAL @ BOS,L,29,19,7,16,0.438,4,8,0.5,1,2,0.5,1,8,9,4,0,0,3,1,0.6,False
2018,1610612742,DAL,Dallas Mavericks,21800554,2019-01-02,DAL @ CHA,W,26,18,7,16,0.438,3,7,0.429,1,2,0.5,1,9,10,4,0,0,2,0,2.8,False
2018,1610612742,DAL,Dallas Mavericks,21800547,2018-12-31,DAL @ OKC,L,23,17,4,10,0.4,3,6,0.5,6,6,1.0,1,5,6,3,1,0,5,0,-3.2,False
2018,1610612742,DAL,Dallas Mavericks,21800539,2018-12-30,DAL vs. OKC,W,34,25,9,19,0.474,4,11,0.364,3,4,0.75,0,3,3,7,1,0,6,3,2.2,True
2018,1610612742,DAL,Dallas Mavericks,21800523,2018-12-28,DAL @ NOP,L,34,34,10,16,0.625,7,10,0.7,7,13,0.538,1,1,2,3,0,0,4,0,1.0,False
2018,1610612742,DAL,Dallas Mavericks,21800509,2018-12-26,DAL vs. NOP,W,31,21,5,13,0.385,0,5,0.0,11,12,0.917,1,8,9,10,1,0,1,2,0.6,True
2018,1610612742,DAL,Dallas Mavericks,21800495,2018-12-23,DAL @ POR,L,35,23,7,21,0.333,2,7,0.286,7,9,0.778,2,9,11,6,0,0,1,0,-0.6,False
2018,1610612742,DAL,Dallas Mavericks,21800484,2018-12-22,DAL @ GSW,L,30,19,7,15,0.467,3,6,0.5,2,4,0.5,1,2,3,5,1,1,2,2,-0.4,False
2018,1610612742,DAL,Dallas Mavericks,21800468,2018-12-20,DAL @ LAC,L,31,32,10,20,0.5,3,6,0.5,9,13,0.692,4,0,4,5,4,0,4,3,-0.2,False
2018,1610612742,DAL,Dallas Mavericks,21800454,2018-12-18,DAL @ DEN,L,35,23,5,15,0.333,3,9,0.333,10,12,0.833,0,6,6,12,1,0,1,1,1.4,False
2018,1610612742,DAL,Dallas Mavericks,21800440,2018-12-16,DAL vs. SAC,L,35,28,9,15,0.6,1,5,0.2,9,14,0.643,0,6,6,9,1,0,5,3,-0.6,True
2018,1610612742,DAL,Dallas Mavericks,21800419,2018-12-13,DAL @ PHX,L,31,13,6,12,0.5,1,5,0.2,0,2,0.0,0,5,5,6,1,0,4,0,-1.6,False
2018,1610612742,DAL,Dallas Mavericks,21800412,2018-12-12,DAL vs. ATL,W,35,24,5,14,0.357,2,6,0.333,12,15,0.8,1,9,10,6,1,1,4,2,0.8,True
2018,1610612742,DAL,Dallas Mavericks,21800397,2018-12-10,DAL vs. ORL,W,26,7,2,11,0.182,0,5,0.0,3,3,1.0,1,10,11,9,1,0,2,1,3.2,True
2018,1610612742,DAL,Dallas Mavericks,21800378,2018-12-08,DAL vs. HOU,W,32,21,7,17,0.412,3,7,0.429,4,5,0.8,3,4,7,1,3,0,3,3,1.6,True
2018,1610612742,DAL,Dallas Mavericks,21800363,2018-12-05,DAL @ NOP,L,22,8,2,8,0.25,1,4,0.25,3,4,0.75,0,4,4,6,0,0,2,1,-1.6,False
2018,1610612742,DAL,Dallas Mavericks,21800352,2018-12-04,DAL vs. POR,W,32,21,6,14,0.429,2,4,0.5,7,9,0.778,2,7,9,3,0,0,2,3,0.8,True
2018,1610612742,DAL,Dallas Mavericks,21800328,2018-11-30,DAL @ LAL,L,32,6,2,13,0.154,0,5,0.0,2,3,0.667,0,6,6,5,3,2,3,3,-1.6,False
